Glyph,USV,ALA-LC,Alone-Stokes,B&D,Campbell,Chaîne,Cohen,Dawkins,Dept of State,ethiop,SERA
ጪ,132A,ċi,chī,č̣i,,tch’i,č̣i,cḥi,Ci,č̣i,Ci
ጫ,132B,ċā,chā,č̣a,,tch’a,č̣a,cḥa,Ca,č̣ā,Ca
ጬ,132C,ċé,chē,č̣e,,tch’e,č̣e,cḥe,Ce,č̣ē,CE
ጭ,132D,ċe/ċ,ch/chi,č̣ə/č̣ø,,tch’ĕ,č̣/č̣ə,cḥï,Cɪ,č̣e,C
ጮ,132E,ċo,cho,č̣o,,tch’o,č̣ʷo,cḥo,Co,č̣o,Co
ጯ,132F,ċwā,,,,,č̣wa,cḥwä,,č̣wā,CWa
ጰ,1330,p̣a,p̣a,ṗä,p̣a,p̣ă,p̣ɑ,p̣ä,Pə,p̣a,Pe
ጱ,1331,p̣u,p̣u,ṗu,p̣ū,p̣u,p̣u,p̣u,Pu,p̣u,Pu
ጲ,1332,p̣i,p̣ī,ṗi,p̣ī,p̣i,p̣i,p̣i,Pi,p̣i,Pi
ጳ,1333,p̣ā,p̣ā,ṗa,p̣ā,p̣a,p̣a,p̣a,Pa,p̣ā,Pa
ጴ,1334,p̣é,p̣ē,ṗe,p̣ē,p̣e,p̣ʸe,p̣e,Pe,p̣ē,PE
ጵ,1335,p̣e/p̣,p̣/p̣i,ṗə/ṗø,p̣e,p̣ĕ,p̣/p̣ə,p̣ï,Pɪ,p̣e,P
ጶ,1336,p̣o,p̣o,ṗo,p̣ō,p̣o,p̣ʷo,p̣o,Po,p̣o,Po
ጷ,1337,,,,,,,,,p̣wā,PWa
ጸ,1338,ṣa,tsa,ṣä,ṣa,ṣă,ṣɑ,ṣä,Sə,ṣa,Se
ጹ,1339,ṣu,tsu,ṣu,ṣū,ṣu,ṣu,ṣu,Su,ṣu,Su
ጺ,133A,ṣi,tsī,ṣi,ṣī,ṣi,ṣi,ṣi,Si,ṣi,Si
ጻ,133B,ṣā,tsā,ṣa,ṣā,ṣa,ṣa,ṣa,Sa,ṣā,Sa
ጼ,133C,ṣé,tsē,ṣe,ṣē,ṣe,ṣʸe,ṣe,Se,ṣē,SE
ጽ,133D,ṣe/ṣ,ts/tsi,ṣə/ṣø,ṣe,ṣĕ,ṣ/ṣə,ṣï,Sɪ,ṣe,S
ጾ,133E,ṣo,tso,ṣo,ṣō,ṣo,ṣʷo,ṣo,So,ṣo,So
ጿ,133F,ṣwā,,,,,ṣwa,ṣwä,,ṣwā,SWa
ፀ,1340,ṡa,tsa,ṣä/ẓä,ḍa,ḍă,ṣɑ,ṣä,Sə,c̣a,‘Se
ፁ,1341,ṡu,tsu,ṣu/ẓu,ḍū,ḍu,ṣu,ṣu,Su,c̣u,‘Su
ፂ,1342,ṡi,tsī,ṣi/ẓi,ḍī,ḍi,ṣi,ṣi,Si,c̣i,‘Si
ፃ,1343,ṡā,tsā,ṣa/ẓa,ḍā,ḍa,ṣa,ṣa,Sa,c̣ā,‘Sa
ፄ,1344,ṡé,tsē,ṣe/ẓe,ḍē,ḍe,ṣʸe,ṣe,Se,c̣ē,‘SE
ፅ,1345,ṡe/ṡ,ts/tsi,ṣə/ṣø/ẓə/ẓø,ḍe,ḍĕ,ṣ/ṣə,ṣï,Sɪ,c̣e,‘S
ፆ,1346,ṡo,tso,ṣo/ẓo,ḍō,ḍo,ṣʷo,ṣo,Sə,c̣o,‘So
